service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
09_L-MA-ME-J,1,1,1,1,0,0,0,20260413,20260416
09_SEMAINE,1,1,1,1,1,0,0,20260413,20260417
09_VENDREDI,0,0,0,0,1,0,0,20260417,20260417
10_DIMANCHE,0,0,0,0,0,0,1,20260419,20260419
10_L-MA-ME-J,1,1,1,1,0,0,0,20260427,20260430
10_MERCREDI,0,0,1,0,0,0,0,20260429,20260429
10_SAMEDI,0,0,0,0,0,1,0,20260418,20260418
10_SEMAINE,1,1,1,1,1,0,0,20260427,20260430
10_VENDREDI,0,0,0,0,1,0,0,20260515,20260515
11_DIMANCHE,0,0,0,0,0,0,1,20260508,20260508
27_DIMANCHE,0,0,0,0,0,0,1,20260329,20260329
27_L-MA-ME-J,1,1,1,1,0,0,0,20260330,20260402
27_MERCREDI,0,0,1,0,0,0,0,20260401,20260401
27_SAMEDI,0,0,0,0,0,1,0,20260328,20260328
27_SEMAINE,1,1,1,1,1,0,0,20260327,20260327
27_VENDREDI,0,0,0,0,1,0,0,20260327,20260327
30_DIMANCHE,0,0,0,0,0,0,1,20260406,20260406
