service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SCO:H25_26_S-PHISEMPS-Semaine-00,1,1,1,1,1,0,0,20260323,20260703
SCO:H25_26_S-PHISEMPS-Semaine-00-1101100,1,1,0,1,1,0,0,20260323,20260703
SCO:H25_26_S-PHISEMPS-Semaine-00-0111100,0,1,1,1,1,0,0,20260324,20260703
SCO:H25_26_S-PHISEMPS-Semaine-00-1000000,1,0,0,0,0,0,0,20260323,20260629
SCO:H25_26_S-PHISEMPS-Semaine-00-0001100,0,0,0,1,1,0,0,20260326,20260703
SCO:H25_26_S-PHISEMPS-Semaine-00-0000100,0,0,0,0,1,0,0,20260327,20260703
SCO:H25_26_S-PHISEMPS-Semaine-00-1111000,1,1,1,1,0,0,0,20260323,20260702
SCO:H25_26_S-PHISAM-Samedi-00,0,0,0,0,0,1,0,20260328,20260627
AMI:H25_26-PHIDIM-Dimanche-003,0,0,0,0,0,0,1,20260329,20260628
AMI:H25_26-PHISAM-Samedi-001,0,0,0,0,0,1,0,20260328,20260627
AMI:H25_26-PHISEMPS-Semaine-017,1,1,1,1,1,0,0,20260323,20260410
AMI:H25_26-PHISEMPS-Semaine-017-0010000,0,0,1,0,0,0,0,20260325,20260408
AMI:H25_26-PHISEMPS-Semaine-017-0000100,0,0,0,0,1,0,0,20260327,20260410
AMI:H25_26-PHISEMPS-Semaine-017-1111000,1,1,1,1,0,0,0,20260323,20260409
AMI:H25_26-PHISEMPS-Semaine-022,1,1,1,1,1,0,0,20260427,20260703
AMI:H25_26-PHISEMPS-Semaine-022-0010000,0,0,1,0,0,0,0,20260429,20260701
AMI:H25_26-PHISEMPS-Semaine-022-0000100,0,0,0,0,1,0,0,20260515,20260703
AMI:H25_26-PHISEMPS-Semaine-022-1111000,1,1,1,1,0,0,0,20260427,20260702
AMI:H25_26-PHISEMVS-Semaine-009,1,1,1,1,1,0,0,20260413,20260424
AMI:H25_26-PHISEMVS-Semaine-009-0000100,0,0,0,0,1,0,0,20260417,20260424
AMI:H25_26-PHISEMVS-Semaine-009-1111000,1,1,1,1,0,0,0,20260413,20260423
RSG:Semaineren,1,1,1,1,1,0,0,20260323,20260703
RSG:SemainePS,1,1,1,1,1,0,0,20260323,20260703
RSG:Samediren,0,0,0,0,0,1,0,20260328,20260704
RSG:Dimancheren,0,0,0,0,0,0,1,20260329,20260705
RSG:SemaineSren,1,1,1,1,1,1,0,20260323,20260704
RSG:MercrediPS,0,0,1,0,0,0,0,20260325,20260701
RSG:MardiPS,0,1,0,0,0,0,0,20260324,20260630
RSG:LJVPS,1,0,0,1,1,0,0,20260323,20260703
