service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AutoGen_5,1,1,1,1,1,1,1,20260407,20260412
AutoGen_2,1,1,1,1,1,1,1,20260407,20260411
AutoGen_7,1,1,1,1,1,1,1,20260407,20260410
AutoGen_4,1,1,1,1,1,1,1,20260407,20260408
AutoGen_3,1,1,1,1,1,1,1,20260407,20260410
AutoGen_6,1,1,1,1,1,1,1,20260407,20260409
AutoGen_1,1,1,1,1,1,1,1,20260407,20260410
AutoGen_8,1,1,1,1,1,1,1,20260407,20260411
AutoGen_11,0,0,0,0,0,0,1,20260419,20260426
AutoGen_10,0,0,0,0,0,1,0,20260418,20260425
AutoGen_13,0,0,0,0,1,0,0,20260417,20260424
AutoGen_14,1,1,1,1,0,0,0,20260413,20260423
AutoGen_9,1,1,1,1,1,0,0,20260413,20260424
AutoGen_12,1,1,1,1,1,1,0,20260413,20260425
