route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,AutoGen_1,21001,"Compiègne - Hôpital",,0,M07,3581$1$1$1$1,,
1,AutoGen_1,21019,"Compiègne - Hôpital",,0,M03,3581$1$1$1$1,,
2,AutoGen_2,22081,"Compiègne - Gare-Jeanne d'Arc",,0,M20,3581$2$5$2$6,,
5,AutoGen_1,25178,"Compiègne - Gare-Jeanne d'Arc",,1,S21,3581$5$55$5$42,,
5,AutoGen_2,25180,"Compiègne - Gare-Jeanne d'Arc",,1,S06,3581$5$55$5$42,,
5,AutoGen_2,25182,"Compiègne - Gare-Jeanne d'Arc",,1,S11,3581$5$55$5$42,,
5,AutoGen_1,25184,"Compiègne - Gare-Jeanne d'Arc",,1,S10,3581$5$55$5$42,,
5,AutoGen_1,25186,"Compiègne - Gare-Jeanne d'Arc",,1,S20,3581$5$55$5$42,,
5,AutoGen_2,25188,"Compiègne - Gare-Jeanne d'Arc",,1,S20,3581$5$55$5$42,,
5,AutoGen_1,25190,"Compiègne - Gare-Jeanne d'Arc",,1,S99,3581$5$55$5$42,,
5,AutoGen_2,25192,"Compiègne - Gare-Jeanne d'Arc",,1,S07,3581$5$55$5$42,,
5,AutoGen_1,25194,"Compiègne - Gare-Jeanne d'Arc",,1,S12,3581$5$55$5$42,,
5,AutoGen_2,25196,"Compiègne - Gare-Jeanne d'Arc",,1,S14,3581$5$55$5$42,,
2,AutoGen_1,22083,"Venette - Monnet",,0,M17,3581$2$2$2$3,,
5,AutoGen_1,25198,"Compiègne - Gare-Jeanne d'Arc",,1,S09,3581$5$55$5$42,,
5,AutoGen_2,25200,"Compiègne - Gare-Jeanne d'Arc",,1,S11,3581$5$55$5$42,,
5,AutoGen_1,25202,"Compiègne - Gare-Jeanne d'Arc",,1,S21,3581$5$55$5$42,,
5,AutoGen_1,25204,"Compiègne - Gare-Jeanne d'Arc",,1,S20,3581$5$55$5$42,,
5,AutoGen_2,25206,"Compiègne - Gare-Jeanne d'Arc",,1,S20,3581$5$55$5$42,,
5,AutoGen_1,25208,"Compiègne - Gare-Jeanne d'Arc",,1,S99,3581$5$58$5$45,,
5,AutoGen_2,25210,"Compiègne - Gare-Jeanne d'Arc",,1,S10,3581$5$58$5$45,,
5,AutoGen_1,25212,"Compiègne - Gare-Jeanne d'Arc",,1,S12,3581$5$55$5$42,,
5,AutoGen_2,25214,"Compiègne - Gare-Jeanne d'Arc",,1,S17,3581$5$55$5$42,,
5,AutoGen_1,25216,"Compiègne - Gare-Jeanne d'Arc",,1,S16,3581$5$55$5$42,,
2,AutoGen_2,22085,"Venette - Monnet",,0,M17,3581$2$2$2$3,,
5,AutoGen_3,25218,"Compiègne - Gare-Jeanne d'Arc",,1,S18,3581$5$55$5$42,,
5,AutoGen_4,25220,"Compiègne - Gare-Jeanne d'Arc",,1,S18,3581$5$55$5$42,,
5,AutoGen_2,25222,"Compiègne - Gare-Jeanne d'Arc",,1,S18,3581$5$55$5$42,,
5,AutoGen_1,25224,"Compiègne - Gare-Jeanne d'Arc",,1,S21,3581$5$55$5$42,,
5,AutoGen_2,25226,"Compiègne - Gare-Jeanne d'Arc",,1,S10,3581$5$55$5$42,,
5,AutoGen_1,25228,"Compiègne - Gare-Jeanne d'Arc",,1,S17,3581$5$55$5$42,,
5,AutoGen_2,25230,"Compiègne - Gare-Jeanne d'Arc",,1,S15,3581$5$55$5$42,,
5,AutoGen_1,25232,"Compiègne - Gare-Jeanne d'Arc",,1,S16,3581$5$55$5$42,,
5,AutoGen_2,25234,"Compiègne - Gare-Jeanne d'Arc",,1,S06,3581$5$55$5$42,,
5,AutoGen_1,25236,"Compiègne - Gare-Jeanne d'Arc",,1,S19,3581$5$55$5$42,,
2,AutoGen_2,22087,"Venette - Monnet",,0,M06,3581$2$2$2$3,,
6,AutoGen_1,26002,"Compiègne - Gare-Jeanne d'Arc",,1,M21,3581$6$59$6$49,,
6,AutoGen_1,26004,"Compiègne - Gare-Jeanne d'Arc",,1,M20,3581$6$60$6$50,,
6,AutoGen_2,26006,"Compiègne - Gare-Jeanne d'Arc",,1,M19,3581$6$60$6$50,,
6,AutoGen_1,26008,"Compiègne - Gare-Jeanne d'Arc",,1,M21,3581$6$59$6$49,,
6,AutoGen_1,26010,"Compiègne - Gare-Jeanne d'Arc",,1,M20,3581$6$60$6$50,,
6,AutoGen_2,26012,"Compiègne - Gare-Jeanne d'Arc",,1,M19,3581$6$60$6$50,,
6,AutoGen_2,26014,"Compiègne - Gare-Jeanne d'Arc",,1,M18,3581$6$59$6$49,,
6,AutoGen_1,26016,"Compiègne - Gare-Jeanne d'Arc",,1,M21,3581$6$59$6$49,,
6,AutoGen_1,26018,"Compiègne - Gare-Jeanne d'Arc",,1,M16,3581$6$60$6$50,,
6,AutoGen_1,26020,"Compiègne - Gare-Jeanne d'Arc",,1,M21,3581$6$59$6$49,,
2,AutoGen_1,22089,"Venette - Monnet",,0,M12,3581$2$2$2$3,,
6,AutoGen_2,26022,"Compiègne - Gare-Jeanne d'Arc",,1,M06,3581$6$59$6$49,,
6,AutoGen_2,26024,"Compiègne - Gare-Jeanne d'Arc",,1,M19,3581$6$60$6$50,,
6,AutoGen_1,26026,"Compiègne - Gare-Jeanne d'Arc",,1,M16,3581$6$61$6$51,,
6,AutoGen_2,26028,"Compiègne - Gare-Jeanne d'Arc",,1,M19,3581$6$61$6$51,,
6,AutoGen_1,26030,"Compiègne - Gare-Jeanne d'Arc",,1,M09,3581$6$59$6$49,,
6,AutoGen_2,26032,"Compiègne - Gare-Jeanne d'Arc",,1,M06,3581$6$59$6$49,,
6,AutoGen_1,26034,"Compiègne - Gare-Jeanne d'Arc",,1,M16,3581$6$61$6$51,,
6,AutoGen_2,26036,"Compiègne - Gare-Jeanne d'Arc",,1,M20,3581$6$59$6$49,,
6,AutoGen_1,26038,"Compiègne - Gare-Jeanne d'Arc",,1,M09,3581$6$59$6$49,,
6,AutoGen_2,26040,"Compiègne - Gare-Jeanne d'Arc",,1,M19,3581$6$61$6$51,,
2,AutoGen_1,22091,"Compiègne - Gare-Jeanne d'Arc",,0,M03,3581$2$4$2$5,,
6,AutoGen_1,26042,"Compiègne - Gare-Jeanne d'Arc",,1,M16,3581$6$61$6$51,,
6,AutoGen_1,26044,"Compiègne - Gare-Jeanne d'Arc",,1,M09,3581$6$59$6$49,,
6,AutoGen_1,26046,"Compiègne - Gare-Jeanne d'Arc",,1,M16,3581$6$61$6$51,,
6,AutoGen_2,26048,"Compiègne - Gare-Jeanne d'Arc",,1,M20,3581$6$59$6$49,,
6,AutoGen_1,26050,"Compiègne - Gare-Jeanne d'Arc",,1,S21,3581$6$59$6$49,,
6,AutoGen_2,26052,"Compiègne - Gare-Jeanne d'Arc",,1,S18,3581$6$61$6$51,,
6,AutoGen_1,26054,"Compiègne - Gare-Jeanne d'Arc",,1,S15,3581$6$61$6$51,,
6,AutoGen_1,26056,"Compiègne - Gare-Jeanne d'Arc",,1,S21,3581$6$59$6$49,,
6,AutoGen_2,26058,"Compiègne - Gare-Jeanne d'Arc",,1,S20,3581$6$59$6$49,,
6,AutoGen_1,26060,"Compiègne - Gare-Jeanne d'Arc",,1,S15,3581$6$61$6$51,,
2,AutoGen_2,22093,"Compiègne - Gare-Jeanne d'Arc",,0,M13,3581$2$4$2$5,,
6,AutoGen_2,26062,"Compiègne - Gare-Jeanne d'Arc",,1,S19,3581$6$61$6$51,,
6,AutoGen_1,26064,"Compiègne - Gare-Jeanne d'Arc",,1,S17,3581$6$60$6$50,,
6,AutoGen_1,26066,"Compiègne - Gare-Jeanne d'Arc",,1,S06,3581$6$59$6$49,,
6,AutoGen_2,26068,"Compiègne - Gare-Jeanne d'Arc",,1,S19,3581$6$60$6$50,,
6,AutoGen_1,26070,"Compiègne - Gare-Jeanne d'Arc",,1,S17,3581$6$60$6$50,,
