TripID,RouteID,ServiceID,DirectionID,Headsign,StartStopName,EndStopName,DepartureSeconds,ArrivalSeconds,DepartureTime,ArrivalTime,Duration_s,Distance_m,StopCount,SegmentCount,CourseIndex,BusIndex,NextAvailableSeconds
27-N1-2-B-034901,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,13741,16140,2026-04-08 03:49:01,2026-04-08 04:29:00,2399.0,12337.786655320606,35,34,1,1,16440.0
27-N1-2-B-043600,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,16560,19080,2026-04-08 04:36:00,2026-04-08 05:18:00,2520.0,12558.4284920604,37,36,4,1,19380.0
27-N1-8-B-052600,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,19560,22200,2026-04-08 05:26:00,2026-04-08 06:10:00,2640.0,12558.4284920604,37,36,8,1,22500.0
27-N1-8-B-061900,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,22740,25560,2026-04-08 06:19:00,2026-04-08 07:06:00,2820.0,12337.786655320606,35,34,13,1,25860.0
27-N1-16-B-071601,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,26161,29520,2026-04-08 07:16:01,2026-04-08 08:12:00,3359.0,12337.786655320606,35,34,22,1,29820.0
27-N1-16-B-082000,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,30000,33600,2026-04-08 08:20:00,2026-04-08 09:20:00,3600.0,12558.4284920604,37,36,33,1,33900.0
27-N1-16-B-093200,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,34320,37500,2026-04-08 09:32:00,2026-04-08 10:25:00,3180.0,12337.786655320606,35,34,44,1,37800.0
27-N1-16-B-103500,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,38100,41400,2026-04-08 10:35:00,2026-04-08 11:30:00,3300.0,12558.4284920604,37,36,55,1,41700.0
27-N1-16-B-114700,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,42420,45600,2026-04-08 11:47:00,2026-04-08 12:40:00,3180.0,12337.786655320606,35,34,66,1,45900.0
27-N1-16-B-125000,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,46200,49500,2026-04-08 12:50:00,2026-04-08 13:45:00,3300.0,12558.4284920604,37,36,77,1,49800.0
27-N1-16-B-140200,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,50520,53640,2026-04-08 14:02:00,2026-04-08 14:54:00,3120.0,12337.786655320606,35,34,88,1,53940.0
27-N1-16-B-150400,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,54240,57540,2026-04-08 15:04:00,2026-04-08 15:59:00,3300.0,12558.4284920604,37,36,99,1,57840.0
27-N1-16-B-161000,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,58200,61740,2026-04-08 16:10:00,2026-04-08 17:09:00,3540.0,12337.786655320606,35,34,110,1,62040.0
27-N1-16-B-171800,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,62280,66120,2026-04-08 17:18:00,2026-04-08 18:22:00,3840.0,12558.4284920604,37,36,121,1,66420.0
27-N1-16-B-183300,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,66780,69900,2026-04-08 18:33:00,2026-04-08 19:25:00,3120.0,12337.786655320606,35,34,132,1,70200.0
27-N1-18-B-203100,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,73860,76560,2026-04-08 20:31:00,2026-04-08 21:16:00,2700.0,12337.786655320606,35,34,143,1,76860.0
27-N1-4-B-035101,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,13861,16380,2026-04-08 03:51:01,2026-04-08 04:33:00,2519.0,12558.4284920604,37,36,2,2,16680.0
27-N1-4-B-045700,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,17820,20340,2026-04-08 04:57:00,2026-04-08 05:39:00,2520.0,12337.786655320606,35,34,5,2,20640.0
27-N1-9-B-055501,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,21301,24000,2026-04-08 05:55:01,2026-04-08 06:40:00,2699.0,12558.4284920604,37,36,10,2,24300.0
27-N1-6-B-064501,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,24301,27240,2026-04-08 06:45:01,2026-04-08 07:34:00,2939.0,12337.786655320606,35,34,16,2,27540.0
27-N1-17-B-073901,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,27541,30960,2026-04-08 07:39:01,2026-04-08 08:36:00,3419.0,12337.786655320606,35,34,26,2,31260.0
27-N1-17-B-084600,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,31560,34980,2026-04-08 08:46:00,2026-04-08 09:43:00,3420.0,12558.4284920604,37,36,37,2,35280.0
27-N1-17-B-095600,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,35760,38880,2026-04-08 09:56:00,2026-04-08 10:48:00,3120.0,12337.786655320606,35,34,48,2,39180.0
27-N1-17-B-110100,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,39660,42960,2026-04-08 11:01:00,2026-04-08 11:56:00,3300.0,12558.4284920604,37,36,59,2,43260.0
27-N1-17-B-121100,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,43860,47040,2026-04-08 12:11:00,2026-04-08 13:04:00,3180.0,12337.786655320606,35,34,70,2,47340.0
27-N1-17-B-131500,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,47700,51000,2026-04-08 13:15:00,2026-04-08 14:10:00,3300.0,12558.4284920604,37,36,81,2,51300.0
27-N1-17-B-142700,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,52020,55140,2026-04-08 14:27:00,2026-04-08 15:19:00,3120.0,12337.786655320606,35,34,92,2,55440.0
27-N1-17-B-152700,N1,27_SEMAINE,1,ETOUVIE,Pôle J. Verne,Etouvie Quai A,55620,59100,2026-04-08 15:27:00,2026-04-08 16:25:00,3480.0,12558.4284920604,37,36,103,2,59400.0
27-N1-17-B-163400,N1,27_SEMAINE,0,POLE JULES VERNE,Etouvie Quai A,Pôle J. Verne,59640,63180,2026-04-08 16:34:00,2026-04-08 17:33:00,3540.0,12337.786655320606,35,34,114,2,63480.0
