BusIndex,NbCourses,PremierDepart,DerniereArrivee,DistanceTotale_km,Energie_kWh,SoCFinal_pct,SoCMin_pct,EnergieRestanteFinale_kWh,MargeMinSoc_pct,Amplitude_h,Attente_s,StatutViabilite,Alerte
1,16,2026-04-08 03:49:01,2026-04-08 21:16:00,206.94907934230827,162.26079203641612,53.63977370388117,53.63977370388117,187.73920796358408,43.63977370388117,17.44972222222222,12901.0,OK,
2,16,2026-04-08 03:51:01,2026-04-08 22:15:00,207.16972117904805,164.78118111374562,52.91966253892991,52.91966253892991,185.2188188862547,42.91966253892991,18.399722222222223,16503.0,OK,
3,16,2026-04-08 04:29:01,2026-04-08 23:38:00,206.94907934230827,166.57837644536417,52.40617815846753,52.40617815846753,183.42162355463637,42.40617815846753,19.149722222222223,19381.0,OK,
4,15,2026-04-08 05:01:01,2026-04-08 23:13:00,194.61129268698764,157.0576013762268,55.12639960679246,55.12639960679246,192.9423986237736,45.12639960679246,18.19972222222222,18301.0,OK,
5,14,2026-04-08 05:39:00,2026-04-08 22:08:00,182.05286419492728,145.4841542238552,58.43309879318441,58.43309879318441,204.51584577614545,48.43309879318441,16.483333333333334,14341.0,OK,
6,13,2026-04-08 06:28:01,2026-04-08 21:40:00,169.71507753960665,135.13321416242638,61.39051023930677,61.39051023930677,214.8667858375737,51.39051023930677,15.199722222222222,12360.0,OK,
7,13,2026-04-08 06:47:01,2026-04-08 22:33:00,169.93571937634644,136.8156992583818,60.909800211891046,60.909800211891046,213.18430074161864,50.909800211891046,15.766388888888889,14820.0,OK,
8,13,2026-04-08 06:58:00,2026-04-09 00:21:00,169.93571937634644,140.86334831530647,59.75332905276977,59.75332905276977,209.13665168469421,49.75332905276977,17.383333333333333,20700.0,OK,
9,13,2026-04-08 07:09:01,2026-04-09 00:33:00,170.15636121308623,141.02346640461727,59.70758102725233,59.70758102725233,208.97653359538316,49.70758102725233,17.399722222222223,20580.0,OK,
10,12,2026-04-08 07:19:01,2026-04-08 21:25:00,157.59793272102584,125.52919399223487,64.13451600221877,64.13451600221877,224.47080600776573,54.134516002218774,14.099722222222223,11160.0,OK,
11,12,2026-04-08 07:51:00,2026-04-08 22:54:00,157.37729088428605,127.8945751906655,63.45869280266715,63.45869280266715,222.10542480933503,53.45869280266715,15.05,15480.0,OK,
