trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
21001,06:00:00,06:00:00,CGAREJ,1,0,1,0
21001,06:02:00,06:02:00,CSOLF1,2,,,277
21001,06:05:00,06:05:00,CMAGE1,3,,,777
21001,06:07:00,06:07:00,CMONO1,4,,,1059
21001,06:08:00,06:08:00,CSTLA1,5,,,1405
21001,06:08:00,06:08:00,CBOUR1,6,,,1698
21001,06:09:00,06:09:00,CBVIL1,7,,,1888
21001,06:10:00,06:10:00,CNAPO1,8,,,2106
21001,06:11:00,06:11:00,CEUNI1,9,,,2255
21001,06:12:00,06:12:00,CVNRI1,10,,,2654
21001,06:13:00,06:13:00,CCARN1,11,,,2987
21001,06:14:00,06:14:00,CRESE1,12,,,3356
21001,06:16:00,06:16:00,CVICT1,13,,,3774
21001,06:17:00,06:17:00,CPISC1,14,,,4037
21001,06:18:00,06:18:00,CHUIL1,15,,,4656
21001,06:20:00,06:20:00,CPICA1,16,,,5144
21001,06:21:00,06:21:00,CABBA1,17,,,5548
21001,06:22:00,06:22:00,CROYA1,18,,,5890
21001,06:25:00,06:25:00,CSTAL3,19,,,6476
21001,06:26:00,06:26:00,CCORA1,20,,,6812
21001,06:27:00,06:27:00,CBMOR1,21,,,7013
21001,06:29:00,06:29:00,CDENI1,22,,,7882
21001,06:30:00,06:30:00,CMALR1,23,,,8146
21001,06:31:00,06:31:00,CBPAS1,24,,,8398
21001,06:33:00,06:33:00,CMERC4,25,,,9158
21001,06:34:00,06:34:00,CARME1,26,,,9671
21001,06:35:00,06:35:00,CHOPI1,27,1,0,10105
21019,08:33:00,08:33:00,CGAREJ,1,0,1,0
21019,08:36:00,08:36:00,CSOLF1,2,,,277
21019,08:39:00,08:39:00,CMAGE1,3,,,777
21019,08:41:00,08:41:00,CMONO1,4,,,1059
21019,08:42:00,08:42:00,CSTLA1,5,,,1405
21019,08:42:00,08:42:00,CBOUR1,6,,,1698
21019,08:43:00,08:43:00,CBVIL1,7,,,1888
21019,08:44:00,08:44:00,CNAPO1,8,,,2106
21019,08:45:00,08:45:00,CEUNI1,9,,,2255
21019,08:46:00,08:46:00,CVNRI1,10,,,2654
21019,08:47:00,08:47:00,CCARN1,11,,,2987
21019,08:48:00,08:48:00,CRESE1,12,,,3356
21019,08:50:00,08:50:00,CVICT1,13,,,3774
21019,08:51:00,08:51:00,CPISC1,14,,,4037
21019,08:53:00,08:53:00,CHUIL1,15,,,4656
21019,08:55:00,08:55:00,CPICA1,16,,,5144
21019,08:58:00,08:58:00,CABBA1,17,,,5548
21019,08:59:00,08:59:00,CROYA1,18,,,5890
21019,09:02:00,09:02:00,CSTAL3,19,,,6476
21019,09:03:00,09:03:00,CCORA1,20,,,6812
21019,09:04:00,09:04:00,CBMOR1,21,,,7013
21019,09:06:00,09:06:00,CDENI1,22,,,7882
21019,09:07:00,09:07:00,CMALR1,23,,,8146
21019,09:08:00,09:08:00,CBPAS1,24,,,8398
21019,09:10:00,09:10:00,CMERC4,25,,,9158
21019,09:11:00,09:11:00,CARME1,26,,,9671
21019,09:12:00,09:12:00,CHOPI1,27,1,0,10105
22081,10:53:00,10:53:00,CLXCE1,1,0,1,0
22081,10:55:00,10:55:00,CLXPL2,2,,,1574
22081,10:56:00,10:56:00,MGYPO2,3,,,1767
22081,10:57:00,10:57:00,MGYJA1,4,,,2110
22081,10:58:00,10:58:00,MGYPA1,5,,,2383
22081,10:59:00,10:59:00,MGYDU2,6,,,2537
22081,11:00:00,11:00:00,MGYRE2,7,,,2798
22081,11:01:00,11:01:00,MGYPI2,8,,,2988
22081,11:02:00,11:02:00,MGYLA1,9,,,3305
22081,11:04:00,11:04:00,MGYMA1,10,,,3509
22081,11:05:00,11:05:00,CAMIE2,11,,,3886
22081,11:08:00,11:08:00,CGAREJ,12,1,0,4822
25178,17:29:00,17:29:00,CHOPI1,1,0,1,0
25178,17:33:00,17:33:00,CMERC2,2,,,747
25178,17:36:00,17:36:00,CBPAS2,3,,,1404
25178,17:37:00,17:37:00,CMALR2,4,,,1717
25178,17:38:00,17:38:00,CDENI4,5,,,2102
25178,17:39:00,17:39:00,CRECH2,6,,,2244
25178,17:40:00,17:40:00,CROST2,7,,,2446
25178,17:41:00,17:41:00,CCPRO2,8,,,2759
25178,17:43:00,17:43:00,CCOME2,9,,,3002
25178,17:44:00,17:44:00,CCROU2,10,,,3517
25178,17:45:00,17:45:00,CCULT1,11,,,3896
25178,17:46:00,17:46:00,CDELA2,12,,,3996
25178,17:47:00,17:47:00,CUNIV2,13,,,4405
25178,17:48:00,17:48:00,CGAMB2,14,,,4524
25178,17:50:00,17:50:00,CEGLI2,15,,,4881
25178,17:51:00,17:51:00,CCOUT2,16,,,5191
25178,17:53:00,17:53:00,CPORT2,17,,,5368
25178,17:55:00,17:55:00,CRCLM2,18,,,5699
25178,17:59:00,17:59:00,CGAREJ,19,1,0,6474
25180,17:32:00,17:32:00,CHOPI1,1,0,1,0
25180,17:36:00,17:36:00,CMERC2,2,,,747
25180,17:39:00,17:39:00,CBPAS2,3,,,1404
25180,17:40:00,17:40:00,CMALR2,4,,,1717
25180,17:41:00,17:41:00,CDENI4,5,,,2102
25180,17:42:00,17:42:00,CRECH2,6,,,2244
25180,17:43:00,17:43:00,CROST2,7,,,2446
25180,17:44:00,17:44:00,CCPRO2,8,,,2759
25180,17:46:00,17:46:00,CCOME2,9,,,3002
25180,17:47:00,17:47:00,CCROU2,10,,,3517
25180,17:48:00,17:48:00,CCULT1,11,,,3896
25180,17:49:00,17:49:00,CDELA2,12,,,3996
25180,17:50:00,17:50:00,CUNIV2,13,,,4405
25180,17:51:00,17:51:00,CGAMB2,14,,,4524
25180,17:53:00,17:53:00,CEGLI2,15,,,4881
25180,17:54:00,17:54:00,CCOUT2,16,,,5191
25180,17:56:00,17:56:00,CPORT2,17,,,5368
25180,17:58:00,17:58:00,CRCLM2,18,,,5699
25180,18:02:00,18:02:00,CGAREJ,19,1,0,6474
25182,17:44:00,17:44:00,CHOPI1,1,0,1,0
25182,17:48:00,17:48:00,CMERC2,2,,,747
25182,17:51:00,17:51:00,CBPAS2,3,,,1404
25182,17:52:00,17:52:00,CMALR2,4,,,1717
25182,17:53:00,17:53:00,CDENI4,5,,,2102
25182,17:54:00,17:54:00,CRECH2,6,,,2244
25182,17:55:00,17:55:00,CROST2,7,,,2446
25182,17:56:00,17:56:00,CCPRO2,8,,,2759
25182,17:58:00,17:58:00,CCOME2,9,,,3002
25182,17:59:00,17:59:00,CCROU2,10,,,3517
25182,18:00:00,18:00:00,CCULT1,11,,,3896
25182,18:01:00,18:01:00,CDELA2,12,,,3996
25182,18:02:00,18:02:00,CUNIV2,13,,,4405
25182,18:03:00,18:03:00,CGAMB2,14,,,4524
25182,18:05:00,18:05:00,CEGLI2,15,,,4881
25182,18:06:00,18:06:00,CCOUT2,16,,,5191
25182,18:08:00,18:08:00,CPORT2,17,,,5368
25182,18:10:00,18:10:00,CRCLM2,18,,,5699
25182,18:14:00,18:14:00,CGAREJ,19,1,0,6474
25184,17:44:00,17:44:00,CHOPI1,1,0,1,0
25184,17:48:00,17:48:00,CMERC2,2,,,747
25184,17:51:00,17:51:00,CBPAS2,3,,,1404
25184,17:52:00,17:52:00,CMALR2,4,,,1717
25184,17:53:00,17:53:00,CDENI4,5,,,2102
25184,17:54:00,17:54:00,CRECH2,6,,,2244
25184,17:55:00,17:55:00,CROST2,7,,,2446
25184,17:56:00,17:56:00,CCPRO2,8,,,2759
25184,17:58:00,17:58:00,CCOME2,9,,,3002
25184,17:59:00,17:59:00,CCROU2,10,,,3517
25184,18:00:00,18:00:00,CCULT1,11,,,3896
25184,18:01:00,18:01:00,CDELA2,12,,,3996
25184,18:02:00,18:02:00,CUNIV2,13,,,4405
25184,18:03:00,18:03:00,CGAMB2,14,,,4524
25184,18:05:00,18:05:00,CEGLI2,15,,,4881
25184,18:06:00,18:06:00,CCOUT2,16,,,5191
25184,18:08:00,18:08:00,CPORT2,17,,,5368
25184,18:10:00,18:10:00,CRCLM2,18,,,5699
25184,18:14:00,18:14:00,CGAREJ,19,1,0,6474
25186,17:59:00,17:59:00,CHOPI1,1,0,1,0
25186,18:03:00,18:03:00,CMERC2,2,,,747
25186,18:06:00,18:06:00,CBPAS2,3,,,1404
25186,18:07:00,18:07:00,CMALR2,4,,,1717
25186,18:08:00,18:08:00,CDENI4,5,,,2102
25186,18:09:00,18:09:00,CRECH2,6,,,2244
25186,18:10:00,18:10:00,CROST2,7,,,2446
25186,18:11:00,18:11:00,CCPRO2,8,,,2759
25186,18:13:00,18:13:00,CCOME2,9,,,3002
25186,18:14:00,18:14:00,CCROU2,10,,,3517
25186,18:15:00,18:15:00,CCULT1,11,,,3896
25186,18:16:00,18:16:00,CDELA2,12,,,3996
25186,18:17:00,18:17:00,CUNIV2,13,,,4405
25186,18:18:00,18:18:00,CGAMB2,14,,,4524
25186,18:20:00,18:20:00,CEGLI2,15,,,4881
25186,18:21:00,18:21:00,CCOUT2,16,,,5191
25186,18:23:00,18:23:00,CPORT2,17,,,5368
25186,18:25:00,18:25:00,CRCLM2,18,,,5699
25186,18:29:00,18:29:00,CGAREJ,19,1,0,6474
25188,17:59:00,17:59:00,CHOPI1,1,0,1,0
25188,18:03:00,18:03:00,CMERC2,2,,,747
25188,18:06:00,18:06:00,CBPAS2,3,,,1404
25188,18:07:00,18:07:00,CMALR2,4,,,1717
25188,18:08:00,18:08:00,CDENI4,5,,,2102
25188,18:09:00,18:09:00,CRECH2,6,,,2244
25188,18:10:00,18:10:00,CROST2,7,,,2446
25188,18:11:00,18:11:00,CCPRO2,8,,,2759
25188,18:13:00,18:13:00,CCOME2,9,,,3002
25188,18:14:00,18:14:00,CCROU2,10,,,3517
25188,18:15:00,18:15:00,CCULT1,11,,,3896
25188,18:16:00,18:16:00,CDELA2,12,,,3996
25188,18:17:00,18:17:00,CUNIV2,13,,,4405
25188,18:18:00,18:18:00,CGAMB2,14,,,4524
25188,18:20:00,18:20:00,CEGLI2,15,,,4881
25188,18:21:00,18:21:00,CCOUT2,16,,,5191
25188,18:23:00,18:23:00,CPORT2,17,,,5368
25188,18:25:00,18:25:00,CRCLM2,18,,,5699
25188,18:29:00,18:29:00,CGAREJ,19,1,0,6474
25190,18:14:00,18:14:00,CHOPI1,1,0,1,0
25190,18:18:00,18:18:00,CMERC2,2,,,747
25190,18:21:00,18:21:00,CBPAS2,3,,,1404
25190,18:22:00,18:22:00,CMALR2,4,,,1717
25190,18:23:00,18:23:00,CDENI4,5,,,2102
25190,18:24:00,18:24:00,CRECH2,6,,,2244
25190,18:25:00,18:25:00,CROST2,7,,,2446
25190,18:26:00,18:26:00,CCPRO2,8,,,2759
25190,18:28:00,18:28:00,CCOME2,9,,,3002
25190,18:29:00,18:29:00,CCROU2,10,,,3517
25190,18:30:00,18:30:00,CCULT1,11,,,3896
25190,18:31:00,18:31:00,CDELA2,12,,,3996
25190,18:32:00,18:32:00,CUNIV2,13,,,4405
25190,18:33:00,18:33:00,CGAMB2,14,,,4524
25190,18:35:00,18:35:00,CEGLI2,15,,,4881
25190,18:36:00,18:36:00,CCOUT2,16,,,5191
25190,18:38:00,18:38:00,CPORT2,17,,,5368
25190,18:40:00,18:40:00,CRCLM2,18,,,5699
25190,18:44:00,18:44:00,CGAREJ,19,1,0,6474
25192,18:19:00,18:19:00,CHOPI1,1,0,1,0
25192,18:23:00,18:23:00,CMERC2,2,,,747
25192,18:26:00,18:26:00,CBPAS2,3,,,1404
25192,18:27:00,18:27:00,CMALR2,4,,,1717
25192,18:28:00,18:28:00,CDENI4,5,,,2102
25192,18:29:00,18:29:00,CRECH2,6,,,2244
25192,18:30:00,18:30:00,CROST2,7,,,2446
25192,18:31:00,18:31:00,CCPRO2,8,,,2759
25192,18:33:00,18:33:00,CCOME2,9,,,3002
25192,18:34:00,18:34:00,CCROU2,10,,,3517
25192,18:35:00,18:35:00,CCULT1,11,,,3896
25192,18:36:00,18:36:00,CDELA2,12,,,3996
25192,18:37:00,18:37:00,CUNIV2,13,,,4405
25192,18:38:00,18:38:00,CGAMB2,14,,,4524
25192,18:40:00,18:40:00,CEGLI2,15,,,4881
25192,18:41:00,18:41:00,CCOUT2,16,,,5191
25192,18:43:00,18:43:00,CPORT2,17,,,5368
25192,18:45:00,18:45:00,CRCLM2,18,,,5699
25192,18:49:00,18:49:00,CGAREJ,19,1,0,6474
25194,18:29:00,18:29:00,CHOPI1,1,0,1,0
25194,18:33:00,18:33:00,CMERC2,2,,,747
25194,18:36:00,18:36:00,CBPAS2,3,,,1404
25194,18:37:00,18:37:00,CMALR2,4,,,1717
25194,18:38:00,18:38:00,CDENI4,5,,,2102
25194,18:39:00,18:39:00,CRECH2,6,,,2244
25194,18:40:00,18:40:00,CROST2,7,,,2446
25194,18:41:00,18:41:00,CCPRO2,8,,,2759
25194,18:43:00,18:43:00,CCOME2,9,,,3002
25194,18:44:00,18:44:00,CCROU2,10,,,3517
25194,18:45:00,18:45:00,CCULT1,11,,,3896
25194,18:46:00,18:46:00,CDELA2,12,,,3996
25194,18:47:00,18:47:00,CUNIV2,13,,,4405
25194,18:48:00,18:48:00,CGAMB2,14,,,4524
25194,18:50:00,18:50:00,CEGLI2,15,,,4881
25194,18:51:00,18:51:00,CCOUT2,16,,,5191
25194,18:53:00,18:53:00,CPORT2,17,,,5368
25194,18:55:00,18:55:00,CRCLM2,18,,,5699
25194,18:59:00,18:59:00,CGAREJ,19,1,0,6474
25196,18:39:00,18:39:00,CHOPI1,1,0,1,0
25196,18:43:00,18:43:00,CMERC2,2,,,747
25196,18:46:00,18:46:00,CBPAS2,3,,,1404
25196,18:47:00,18:47:00,CMALR2,4,,,1717
25196,18:48:00,18:48:00,CDENI4,5,,,2102
25196,18:49:00,18:49:00,CRECH2,6,,,2244
25196,18:50:00,18:50:00,CROST2,7,,,2446
25196,18:51:00,18:51:00,CCPRO2,8,,,2759
25196,18:53:00,18:53:00,CCOME2,9,,,3002
25196,18:54:00,18:54:00,CCROU2,10,,,3517
25196,18:55:00,18:55:00,CCULT1,11,,,3896
25196,18:56:00,18:56:00,CDELA2,12,,,3996
25196,18:57:00,18:57:00,CUNIV2,13,,,4405
25196,18:58:00,18:58:00,CGAMB2,14,,,4524
25196,19:00:00,19:00:00,CEGLI2,15,,,4881
