stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,stop_timezone,wheelchair_boarding
CZIQU1,,"Ziquodrome",,49.388508,2.783047,,,0,,
CDENI4,,"Guy Deniélou",,49.400891,2.798146,,,0,,
CABBA1,,"Abbaye",,49.398082,2.804833,,,0,,
MGYMA1,,"Mairie de Margny",,49.424947,2.818677,,,0,,
CGAMB1,,"Gambetta",,49.411835,2.814159,,,0,,
MGYDU2,,"Stade Roland Dubois",,49.43015,2.825566,,,0,,
MGYDB2,,"MARGNY - Collège Debussy",,49.432835,2.828776,,,0,,
MGYDG2,,"Margny de Gaulle",,49.422634,2.810505,,,0,,
MGYPO2,,"Poincaré - C. Commercial",,49.428555,2.83286,,,0,,
MGYPI2,,"Foyer Edith Piaf",,49.428218,2.820231,,,0,,
MGYPA2,,"Paramé",,49.429729,2.827097,,,0,,
MGYPR2,,"Prairie",,49.420852,2.807282,,,0,,
CHOLI3,,"Linières",,49.447317,2.881109,,,0,,
LCOJM1,,"Jean Monnet",,49.381452,2.781474,,,0,,
MGYED3,,"Emile Dewoitine",,49.436114,2.797102,,,0,,
CMALR2,,"A. Malraux",,49.399009,2.79495,,,0,,
MGYHA3,,"Hauts de Margny",,49.437571,2.802671,,,0,,
CCLOS1,,"Clos des Roses",,49.406702,2.802632,,,0,,
CCROU1,,"Croix-Rouge",,49.405216,2.811183,,,0,,
CLXPL2,,"La Planchette",,49.429674,2.834895,,,0,,
CDESN2,,"Robert Desnos",,49.404169,2.802074,,,0,,
CSTJO5,,"Saint Joseph",,49.408979,2.819865,,,0,,
CJARD2,,"Les Jardins",,49.408571,2.806725,,,0,,
CPARC2,,"Parc de Loisirs",,49.388988,2.785039,,,0,,
CPARI2,,"Rue de Paris",,49.410368,2.817566,,,0,,
CPORT2,,"Port à Bateaux",,49.416292,2.818715,,,0,,
CBPAS1,,"Blaise Pascal",,49.396797,2.794176,,,0,,
CHOPI1,,"Hôpital",,49.387409,2.790782,,,0,,
CLJFA1,,"Les Jardins Familiaux",,49.385767,2.791882,,,0,,
CSOLF2,,"Solférino",,49.418547,2.824901,,,0,,
CSTLA2,,"Saint-Lazare",,49.411906,2.831857,,,0,,
CCUGN3,,"J. Cugnot",,49.392586,2.784018,,,0,,
CRECH2,,"Centre de recherches",,49.400925,2.799572,,,0,,
CHUGO2,,"Victor Hugo",,49.415716,2.83025,,,0,,
CCPRO2,,"Camp de Royallieu",,49.403772,2.804527,,,0,,
CCORA2,,"Vivier Corax",,49.396167,2.799759,,,0,,
CCARN2,,"Carnot",,49.409164,2.829694,,,0,,
CLXMO3,,"Mousquetaires",,49.433971,2.842221,,,0,,
CEUNI1,,"Etats-Unis",,49.405857,2.837033,,,0,,
VENNO1,,"Square Nolet",,49.413626,2.79937,,,0,,
CLESS1,,"Ferdinand de Lesseps",,49.395885,2.784593,,,0,,
VEBP41,,"Bois de Plaisance 4",,49.416275,2.758586,,,0,,
VEBP21,,"Bois de Plaisance 2",,49.415427,2.765478,,,0,,
CSPRE1,,"Sous-Préfecture",,49.415683,2.833299,,,0,,
CCAPU2,,"Capucins",,49.414492,2.821128,,,0,,
CAVEN1,,"Aventis",,49.430114,2.858963,,,0,,
CROBI1,,"Robida",,49.404558,2.813081,,,0,,
CCULT1,,"Centre culturel",,49.40798,2.808977,,,0,,
CCALM1,,"Docteur Calmette",,49.400098,2.792616,,,0,,
