from_stop_id,to_stop_id,transfer_type,min_transfer_time
CABBA2,CABBA1,0,
CAMIE2,CAMIE1,0,
CANAT2,CANAT1,0,
CANHO3,CANHO2,0,
CAVEN2,CAVEN1,0,
CBATA1,CARMI2,0,
CBATA2,CARMI2,0,
CBATA2,CBATA1,0,
CBELL3,CBELL2,0,
CBMOR2,CBMOR1,0,
CBOUR2,CBOUR1,0,
CBPAS1,CBMOR1,0,
CBPAS1,CBMOR2,0,
CBPAS2,CBMOR1,0,
CBPAS2,CBMOR2,0,
CBPAS2,CBPAS1,0,
CBRET1,CBOUR1,0,
CBRET1,CBOUR2,0,
CBRET2,CBOUR2,0,
CBRET2,CBRET1,0,
CBVIL1,CBOUR1,0,
CBVIL1,CBOUR2,0,
CBVIL1,CBRET1,0,
CBVIL1,CBRET2,0,
CBVIL2,CBOUR1,0,
CBVIL2,CBOUR2,0,
CBVIL2,CBRET1,0,
CBVIL2,CBRET2,0,
CBVIL2,CBVIL1,0,
CCAIL2,CCAIL1,0,
CCALM2,CCALM1,0,
CCAMP3,CCAIL1,0,
CCAMP3,CCAIL2,0,
CCAPU2,CANHO2,0,
CCAPU2,CANHO3,0,
CCARN2,CCARN1,0,
CCINO1,CBATA1,0,
CCINO1,CBATA2,0,
CCINO2,CBATA1,0,
CCINO2,CBATA2,0,
CCINO2,CCINO1,0,
CCLOS1,CANAT1,0,
CCLOS1,CANAT2,0,
CCLOS2,CANAT1,0,
CCLOS2,CANAT2,0,
CCLOS2,CCLOS1,0,
CCOME2,CCOME1,0,
CCORA1,CBMOR1,0,
CCORA1,CBMOR2,0,
CCORA2,CBMOR1,0,
CCORA2,CBMOR2,0,
CCORA2,CCORA1,0,
CCOSY1,CCINO1,0,
CCOSY1,CCINO2,0,
CCOUT1,CCAPU2,0,
CCOUT2,CCAPU2,0,
CCOUT2,CCOUT1,0,
CCPRO1,CCOME1,0,
CCPRO1,CCOME2,0,
CCPRO2,CCOME1,0,
CCPRO2,CCOME2,0,
